Frame,Time,mal_lat_left_X,mal_lat_left_Y,mal_lat_left_Z,calc_back_left_X,calc_back_left_Y,calc_back_left_Z,toe_left_X,toe_left_Y,toe_left_Z,mal_lat_right_X,mal_lat_right_Y,mal_lat_right_Z,calc_back_right_X,calc_back_right_Y,calc_back_right_Z,toe_right_X,toe_right_Y,toe_right_Z,C7_X,C7_Y,C7_Z
50,0.245,751.169982910156,462.528686523438,515.604736328125,713.791809082031,421.454010009766,575.314208984375,683.990478515625,430.272796630859,322.233978271484,883.611511230469,263.638397216797,94.1838455200195,819.897094726562,302.968322753906,64.0824661254883,1069.25537109375,306.288116455078,30.4714202880859,1034.78918457031,324.705383300781,1321.73046875
51,0.25,759.019409179688,462.298675537109,507.446899414062,719.093872070312,421.53955078125,565.80029296875,700.256958007812,428.985534667969,311.609497070312,866.180358886719,263.587738037109,94.860710144043,802.146667480469,302.841003417969,64.8273315429688,1051.25219726562,306.299041748047,30.4260692596436,1034.88220214844,324.010223388672,1322.6611328125
52,0.255,766.578796386719,461.988098144531,498.580688476562,724.027404785156,421.6357421875,555.256591796875,716.734313964844,427.271850585938,300.511871337891,848.891418457031,263.260681152344,95.4935455322266,784.348388671875,302.52734375,65.6589202880859,1033.19177246094,306.338562011719,30.4234981536865,1035.01843261719,323.384552001953,1324.03564453125
53,0.26,774.027648925781,461.795288085938,489.005859375,728.760620117188,421.722686767578,543.731323242188,734.651062011719,426.232635498047,288.81689453125,831.59521484375,262.866088867188,96.4988708496094,766.752624511719,302.00341796875,66.8265762329102,1015.17120361328,306.273498535156,30.4273147583008,1035.17565917969,322.699005126953,1325.61108398438
54,0.265,781.55419921875,461.411865234375,478.569641113281,733.502136230469,421.851379394531,531.195007324219,752.588562011719,424.044799804688,276.919250488281,814.393249511719,262.1044921875,97.7295837402344,749.341674804688,301.535400390625,68.4460678100586,997.362548828125,306.250030517578,30.4344730377197,1035.40600585938,322.093811035156,1327.60607910156
55,0.27,789.118896484375,461.154937744141,467.606719970703,738.359130859375,421.937042236328,517.737731933594,771.408874511719,422.578002929688,265.061248779297,797.412902832031,261.348968505859,99.3243865966797,732.235473632812,300.788208007812,70.6853179931641,979.589233398438,306.135711669922,30.4162883758545,1035.83776855469,321.608276367188,1329.96936035156
56,0.275,797.137145996094,460.796020507812,455.877807617188,743.513549804688,422.039672851562,503.434906005859,790.817626953125,421.113403320312,253.076293945312,780.717529296875,260.380218505859,101.330230712891,715.438659667969,299.764587402344,73.7209014892578,961.911010742188,306.091186523438,30.421703338623,1036.32214355469,321.274963378906,1332.69091796875
57,0.28,805.41796875,460.46533203125,443.710906982422,749.169372558594,422.087768554688,488.349609375,810.729858398438,419.621246337891,241.183776855469,764.521728515625,259.229278564453,103.942283630371,698.955749511719,298.583435058594,77.7002105712891,944.168518066406,305.992584228516,30.4683418273926,1037.00573730469,320.880798339844,1335.69152832031
58,0.285,814.149047851562,460.058563232422,431.006164550781,755.373046875,422.096740722656,472.585083007812,830.830017089844,418.454650878906,229.43635559082,748.94287109375,257.649261474609,107.008346557617,682.754150390625,297.173431396484,82.5327301025391,926.42919921875,305.959747314453,30.5769329071045,1037.72937011719,320.608428955078,1339.05249023438
59,0.29,823.424987792969,459.674102783203,417.861145019531,762.300720214844,422.041931152344,456.174835205078,851.804077148438,417.195922851562,218.047805786133,733.370056152344,256.565124511719,110.676956176758,667.234802246094,295.659515380859,88.1049652099609,908.766418457031,305.721252441406,30.7125053405762,1038.58862304688,320.266906738281,1342.62109375
60,0.295,833.248474121094,459.218475341797,404.320770263672,769.840515136719,421.923706054688,439.346160888672,872.997253417969,415.750518798828,206.68244934082,718.592041015625,254.870971679688,114.894424438477,652.280029296875,294.042877197266,94.4884262084961,891.211730957031,305.538421630859,30.8457679748535,1039.51196289062,320.033477783203,1346.35571289062
61,0.3,843.644653320312,458.669555664062,390.551177978516,778.301391601562,421.674468994141,421.980712890625,894.576110839844,414.506561279297,195.594680786133,704.28662109375,253.193649291992,119.548294067383,637.938720703125,292.377563476562,101.514869689941,873.77685546875,305.257568359375,30.9668445587158,1040.48608398438,319.859985351562,1350.24157714844
62,0.305,854.617004394531,458.1865234375,376.476104736328,787.476745605469,421.332214355469,404.306549072266,916.453918457031,413.197814941406,184.827545166016,690.612976074219,251.301696777344,124.633613586426,624.330078125,290.711883544922,109.101272583008,856.497253417969,304.870422363281,31.1536808013916,1041.38073730469,319.823883056641,1354.28588867188
